repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas
microsoft/ML-For-Beginners,09b03ccb52eb73842fd01a3f93a30f2905410bfa,https://github.com/microsoft/ML-For-Beginners/commit/09b03ccb52eb73842fd01a3f93a30f2905410bfa,BethanyJep,44121227,User,2025-02-14T08:01:49+00:00,web-flow,2025-02-14T08:01:49+00:00,"Merge pull request #789 from BethanyJep/translations

Image Translations",40284,0,40284,300,"90f5aee98a28a5e0f7d4e4fde9af5ce6793ae936,81ff2e6d13c3eee24a56eba28e1716b8274a08a0"
microsoft/ML-For-Beginners,81ff2e6d13c3eee24a56eba28e1716b8274a08a0,https://github.com/microsoft/ML-For-Beginners/commit/81ff2e6d13c3eee24a56eba28e1716b8274a08a0,BethanyJep,44121227,User,2025-02-14T06:08:45+00:00,web-flow,2025-02-14T06:08:45+00:00,Merge branch 'microsoft:main' into translations,12,8,20,1,"9fc2b847b8d4a77242cbb6a432c9fd29e4d61e67,90f5aee98a28a5e0f7d4e4fde9af5ce6793ae936"
microsoft/ML-For-Beginners,9fc2b847b8d4a77242cbb6a432c9fd29e4d61e67,https://github.com/microsoft/ML-For-Beginners/commit/9fc2b847b8d4a77242cbb6a432c9fd29e4d61e67,BethanyJep,44121227,User,2025-02-13T19:55:17+00:00,BethanyJep,2025-02-13T19:55:17+00:00,updated image translation for the various languages,40284,0,40284,300,9e189e28e21b1fccca193ad24f342aaa761c1bf7
microsoft/ML-For-Beginners,90f5aee98a28a5e0f7d4e4fde9af5ce6793ae936,https://github.com/microsoft/ML-For-Beginners/commit/90f5aee98a28a5e0f7d4e4fde9af5ce6793ae936,WirelessLife,17089114,User,2025-02-13T17:09:42+00:00,web-flow,2025-02-13T17:09:42+00:00,"Merge pull request #788 from microsoft/WirelessLife-patch-2

Update README.md - Updating Other Courses with new courses.",1,0,1,1,"8a6ce4ec4ad22a7e86664ae7e27f93bdd8223e2d,6c3c6218c4b7a39e78f8922f6321c0d950db2cd6"
microsoft/ML-For-Beginners,6c3c6218c4b7a39e78f8922f6321c0d950db2cd6,https://github.com/microsoft/ML-For-Beginners/commit/6c3c6218c4b7a39e78f8922f6321c0d950db2cd6,WirelessLife,17089114,User,2025-02-13T17:09:02+00:00,web-flow,2025-02-13T17:09:02+00:00,"Update README.md

Updating Other Courses",1,0,1,1,8a6ce4ec4ad22a7e86664ae7e27f93bdd8223e2d
microsoft/ML-For-Beginners,8a6ce4ec4ad22a7e86664ae7e27f93bdd8223e2d,https://github.com/microsoft/ML-For-Beginners/commit/8a6ce4ec4ad22a7e86664ae7e27f93bdd8223e2d,WirelessLife,17089114,User,2025-02-13T16:49:32+00:00,web-flow,2025-02-13T16:49:32+00:00,"Update README.md

Updating ""Other Courses"" with new courses.",11,8,19,1,009fdcdfb047041a15190b7642d036afa804f160
microsoft/ML-For-Beginners,009fdcdfb047041a15190b7642d036afa804f160,https://github.com/microsoft/ML-For-Beginners/commit/009fdcdfb047041a15190b7642d036afa804f160,BethanyJep,44121227,User,2025-02-06T16:55:23+00:00,web-flow,2025-02-06T16:55:23+00:00,"Merge pull request #787 from BethanyJep/translations

Updated Translations",72080,0,72080,300,"24161007bffdd618a775426acee3940c1af6529d,9e189e28e21b1fccca193ad24f342aaa761c1bf7"
microsoft/ML-For-Beginners,9e189e28e21b1fccca193ad24f342aaa761c1bf7,https://github.com/microsoft/ML-For-Beginners/commit/9e189e28e21b1fccca193ad24f342aaa761c1bf7,BethanyJep,44121227,User,2025-02-04T07:40:36+00:00,BethanyJep,2025-02-04T07:40:36+00:00,"updated translations for ko, es, it, ja, sw, hi, tr and zh using co-op translator",72080,0,72080,300,24161007bffdd618a775426acee3940c1af6529d
microsoft/ML-For-Beginners,24161007bffdd618a775426acee3940c1af6529d,https://github.com/microsoft/ML-For-Beginners/commit/24161007bffdd618a775426acee3940c1af6529d,BethanyJep,44121227,User,2025-01-30T08:55:43+00:00,web-flow,2025-01-30T08:55:43+00:00,"Merge pull request #779 from aneelkkhatri/main

Fix typo in README.md",1,1,2,1,"be214ab3c21fbf0259b9ada7662174843b688dd7,1313e74faf94fa3b65c2eebe4f4c6fc4f40a9a4b"
microsoft/ML-For-Beginners,1313e74faf94fa3b65c2eebe4f4c6fc4f40a9a4b,https://github.com/microsoft/ML-For-Beginners/commit/1313e74faf94fa3b65c2eebe4f4c6fc4f40a9a4b,aneelkkhatri,4344457,User,2024-12-19T03:45:53+00:00,web-flow,2024-12-19T03:45:53+00:00,Fix typo in README.md,1,1,2,1,be214ab3c21fbf0259b9ada7662174843b688dd7
